team,Control rmsa attack,Control rmsa defend,Control rmsa,Control intercept,Escort rmsa attack,Escort rmsa defend,Escort rmsa,Escort intercept,Hybrid rmsa attack,Hybrid rmsa defend,Hybrid rmsa,Hybrid intercept,Assault rmsa attack,Assault rmsa defend,Assault rmsa,Assault intercept,Total Rating
Dallas Fuel,13.629,8.871,22.5,94.66,4.811,-1.546,3.265,90.807,7.12,5.129,12.249,94.795,26.982,12.723,39.705,111.65,100.219
Shanghai Dragons,6.409,12.258,18.667,94.66,1.13,5.207,6.337,90.807,3.175,9.444,12.619,94.795,19.676,24.69,44.366,111.65,100.655
Seoul Dynasty,5.884,5.452,11.336,94.66,-1.835,0.519,-1.316,90.807,2.386,4.057,6.443,94.795,-2.021,7.304,5.283,111.65,33.083
Los Angeles Gladiators,8.5,0.489,8.989,94.66,5.387,2.109,7.495,90.807,13.242,10.629,23.871,94.795,13.701,6.867,20.567,111.65,69.913
Atlanta Reign,2.904,4.438,7.342,94.66,3.205,5.84,9.044,90.807,10.986,9.429,20.415,94.795,5.943,4.786,10.729,111.65,54.873
Washington Justice,3.693,1.937,5.63,94.66,-3.808,-3.402,-7.211,90.807,-11.567,1.74,-9.827,94.795,-1.006,8.208,7.201,111.65,1.424
Houston Outlaws,-1.991,7.513,5.522,94.66,4.789,-0.044,4.745,90.807,6.44,2.804,9.244,94.795,9.843,16.746,26.589,111.65,51.621
San Francisco Shock,4.18,0.291,4.471,94.66,3.852,3.279,7.131,90.807,5.987,-9.772,-3.785,94.795,16.054,8.51,24.564,111.65,36.853
Chengdu Hunters,1.749,1.517,3.265,94.66,2.996,4.502,7.497,90.807,1.637,14.348,15.985,94.795,11.39,3.487,14.877,111.65,44.889
Boston Uprising,-1.066,0.174,-0.892,94.66,-2.298,-1.146,-3.444,90.807,21.935,-1.107,20.828,94.795,-12.658,-18.578,-31.235,111.65,-15.635
Toronto Defiant,-0.962,-0.844,-1.805,94.66,-2.821,-3.834,-6.655,90.807,-16.169,-9.526,-25.694,94.795,-14.831,-10.307,-25.138,111.65,-61.098
Philadelphia Fusion,1.52,-4.09,-2.57,94.66,7.473,4.8,12.272,90.807,0.931,-1.398,-0.468,94.795,7.946,-7.778,0.168,111.65,6.832
Guangzhou Charge,4.485,-7.552,-3.067,94.66,-3.708,-3.884,-7.592,90.807,-3.986,-9.419,-13.405,94.795,-9.732,-5.744,-15.476,111.65,-42.607
Hangzhou Spark,-1.007,-2.794,-3.801,94.66,-1.793,-0.066,-1.858,90.807,16.922,-1.911,15.011,94.795,3.539,-14.279,-10.74,111.65,-5.189
Florida Mayhem,-3.423,-3.575,-6.998,94.66,-1.544,4.317,2.773,90.807,12.329,1.381,13.711,94.795,-17.281,-4.908,-22.189,111.65,-19.701
Paris Eternal,-7.405,-0.628,-8.032,94.66,2.668,0.386,3.054,90.807,-13.48,-0.532,-14.012,94.795,11.522,5.861,17.384,111.65,-9.639
New York Excelsior,-7.038,-3.94,-10.978,94.66,2.202,5.953,8.155,90.807,3.016,-2.053,0.963,94.795,-13.234,1.287,-11.947,111.65,-24.784
Vancouver Titans,-9.554,-3.026,-12.58,94.66,-8.149,-6.402,-14.551,90.807,-23.526,-2.639,-26.165,94.795,-18.03,-15.324,-33.354,111.65,-99.23
London Spitfire,-7.682,-8.615,-16.297,94.66,-3.893,-5.25,-9.143,90.807,-14.549,-5.331,-19.88,94.795,-7.002,-18.998,-26.0,111.65,-87.616
Los Angeles Valiant,-12.827,-7.877,-20.703,94.66,-8.663,-11.336,-19.999,90.807,-22.83,-15.272,-38.102,94.795,-30.803,-4.552,-35.355,111.65,-134.863
